lat,lon,elev,cell_id
-903154.0748458902,-1190365.7098398877,1628.8795690449388,1
-879147.7647225063,-1164221.8078946033,1337.3671125862866,2
-855056.7321289601,-1138200.8736045891,1658.2660948975429,3
-830881.3392253057,-1112304.0666156155,1621.385437793719,4
-806621.9562122638,-1086532.5456073969,1637.17083420256,5
-782278.9613481449,-1060887.4682552863,1762.1759544262522,6
-757852.740965996,-1035369.991191454,1948.2382157712543,7
-733343.6894909857,-1009981.269965549,1848.2032100345496,8
-708752.2094580063,-984722.4590048254,2228.3067869312913,9
-684078.7115294964,-959594.7115737488,1495.9200753541845,10
-659323.6145134828,-934599.1797330593,1454.5687663909816,11
-634487.3453818194,-909737.0142983,1491.9871294111817,12
-609570.3392886433,-885009.3647977891,1319.1260388889025,13
-584573.039589022,-860417.3794300511,1676.3231971765279,14
-559495.8978578032,-835962.205020685,2119.988857689476,15
-534339.3739086334,-811644.9869786721,1827.6993513088955,16
-509103.9358131879,-787466.8692521191,1604.5390524165273,17
-483790.05992055417,-763428.9942834195,1914.1280811456754,18
-458398.2308768015,-739532.502963847,2196.905640918736,19
-432928.94164471223,-715778.5345875563,1952.751438609557,20
-407382.6935236718,-692168.2268050025,2133.665415481925,21
-381759.99616972194,-668702.7155757532,2119.1588336941813,22
-356061.3676157521,-645383.1351207112,2118.941857146552,23
-330287.3342918438,-622210.6178737221,2072,24
-304438.43104573985,-599186.2944325717,2001.5380718930314,25
-278515.20116346056,-576311.2935093695,1889.90459668628,26
-252518.19639002907,-553586.7418802931,1676,27
-226447.9769503244,-531013.7643347183,1581.95384647701,28
-200305.11157003403,-508593.4836237012,1687.9664546084614,29
-174090.17749672898,-486327.0204078256,1843.1268763411824,30
-147803.76052101314,-464215.49320439046,1590.6543826634088,31
-121446.45499778699,-442260.0183339536,1512.3639912900867,32
-95018.86386757308,-420461.7098662068,1428.4489477889335,33
-68521.59867793143,-398821.67956518475,1286.3414053767485,34
-1700323.7877530858,510989.43698508374,0.9999999999999999,35
-1671295.569559989,533858.2307703246,6.000000000000001,36
-1642194.5220754202,556579.1417460364,7,37
-1613021.2140252187,579151.0164415197,10.000000000000002,38
-1583776.2230129032,601572.7041620874,13.506081071941102,39
-1554460.135538613,623843.057043703,29.020098280617148,40
-1525073.547018062,645960.9301083715,77.67535120219303,41
-1495617.0618014974,667925.1813202669,85.83726159476181,42
-1466091.2931926504,689734.6716426135,28.000000000000004,43
-1436496.8634676882,711388.2650953184,44.1069905498657,44
-1406834.4038941287,732884.8288133751,51.489829462080294,45
-1377104.5547497317,754223.2331060179,18.33618826262686,46
-1347307.9653413545,775402.351516657,23.91359566399429,47
-1317445.294023746,796421.0608835805,27.369017528674284,48
-1287517.2082182919,817278.2414014356,30,49
-1257524.384431687,837972.7766835034,32.3478007482849,50
