lat,lon,year,obs_pm25,pred_av,pred_gs,pred_cmaq_outs,pred_js,pred_caces,ref_id
33.55305599999999,-86.815,2011,13.318487,13,11.440707367498982,12.531723287671232,13.123390867038184,12.8437902985075,01-073-0023-88101-1
33.331111,-87.003611,2011,11.689916,10.899999618530272,9.793033027268596,11.65305205479452,11.680116568620878,10.5173941854273,01-073-1005-88101-1
33.45972199999999,-87.305556,2011,10.29916,10.399999618530272,9.220994861392809,11.055567123287672,9.320147988015997,9.36608210982659,01-073-1009-88101-1
33.545278,-86.549167,2011,12.363934,12.600000381469728,10.22737610148272,11.822271232876712,13.411064887730792,12.3631255121043,01-073-1010-88101-1
33.499722,-86.924167,2011,12.323034,13,9.84618353976324,12.267657534246576,12.368457151186185,13.2769010060362,01-073-2003-88101-1
33.386389,-86.816667,2011,11.227273,11.5,10.06712761175783,12.115923287671231,11.956290634764438,11.4350807066296,01-073-2006-88101-1
33.70472199999999,-86.669167,2011,10.814876,10.600000381469728,9.493446831654444,11.574180821917809,10.765119646420382,10.1091262924528,01-073-5002-88101-1
33.801667,-86.9425,2011,10.844628,10.5,9.522811190726229,11.29527397260274,10.66863957633023,9.93821274244004,01-073-5003-88101-1
34.687760999999995,-86.586362,2011,11.307692,11.600000381469728,9.8468832141399,10.91290684931507,12.279204240377588,10.9709983066362,01-089-0014-88101-1
31.3492,-109.539683,2011,6.478689,7.699999809265137,6.849924662927107,6.236241095890411,7.131045728388869,7.43112989155693,04-003-1005-88101-1
35.206111000000014,-111.652777,2011,5.167213,5.400000095367432,6.131007014839963,5.845698630136987,6.541556963264923,5.13697902460457,04-005-1008-88101-1
33.503833,-112.095767,2011,8.952893,10.600000381469728,7.571055073031155,9.46606301369863,10.5589114466418,9.60666207485761,04-013-9997-88101-1
32.32266100000001,-111.038389,2011,5.692373,8,6.6590649106441875,7.440860273972603,5.932170518577788,6.32850864097363,04-019-0011-88101-1
32.29515000000001,-110.9823,2011,5.410345,7.5,7.180367046959662,7.537380821917808,5.917110338074227,5.87945420858896,04-019-1028-88101-1
32.87758300000001,-111.752222,2011,10.028333,8.100000381469727,7.804877144082866,7.950309589041096,9.579129675448932,10.5623764517848,04-021-0001-88101-1
33.421194,-111.503222,2011,8.397521,7.099999904632568,6.592948290150535,7.468153424657534,7.014291474074065,6.87615566063348,04-021-3002-88101-1
33.010529999999996,-111.97205,2011,13.334483,7.5,9.962872915270852,7.9718,12.158808922167823,9.14539829268293,04-021-3013-88101-1
31.337203999999996,-110.936718,2011,9.92069,6.5,7.964992432285838,6.5774328767123285,9.485521719270048,8.98477965632858,04-023-0004-88101-1
34.594999999999985,-112.331,2011,3.868421,5,6.141688992470338,6.104027397260274,4.175585353609305,5.19540991163056,04-025-2002-88101-1
32.690278,-114.61444,2011,7.622034,10.300000190734863,7.419601648553382,7.352243835616438,6.575931637181306,8.02253391881919,04-027-8011-88101-1
34.51851500000001,-91.55896,2011,10.966667,10.300000190734863,9.340507108527252,10.508523287671231,12.19790894013182,10.804917155266,05-001-0011-88101-1
35.197288,-90.193141,2011,11.606957,10.899999618530272,9.949180507587863,10.451476712328768,12.905280673202242,10.8871611594203,05-035-0005-88101-1
35.10519300000001,-92.427859,2011,11.426957,10.699999809265137,9.345343336692988,11.352424657534248,11.288633087678772,12.7667008803729,05-045-0002-88101-1
34.469441,-93.000178,2011,11.468033,10,8.709124664812858,10.81093698630137,11.344069632714396,10.3243756085271,05-051-0003-88101-1
34.529766,-90.586049,2011,10.915966,10.5,9.518192126006069,10.228115068493151,11.26625165198507,10.6972302816901,05-107-0001-88101-1
34.583699,-94.226234,2011,11.507563,10.100000381469728,8.819565824130507,9.887531506849315,10.566961429088868,10.8343399371069,05-113-0002-88101-1
35.259775,-93.10005,2011,11.988235,11,9.041335285630664,10.974153424657532,11.215844849097302,12.0091113751114,05-115-0003-88101-1
34.756189,-92.281296,2011,12.003047,12,9.594303938645163,11.805383561643836,12.630316419083565,11.3457074183976,05-119-0007-88101-1
34.729603,-92.243587,2011,11.429661,12.300000190734863,9.594303938645163,11.672290410958905,11.541919817039076,11.8107693548387,05-119-1004-88101-1
36.1797,-94.116827,2011,11.682301,11.300000190734863,9.080326242902707,10.72303287671233,12.157014993639864,12.2378987707881,05-143-0005-88101-1
35.24894,-91.715596,2011,11.92069,12.300000190734863,9.940476807004126,10.838619178082192,11.10516832259148,12.0169279029463,05-145-0001-88101-1
39.757371,-121.84328600000002,2011,12.003279,11,8.602616391667727,7.960556164383561,9.986885319218985,10.5686678057554,06-007-0002-88101-1
36.781333,-119.77319,2011,15.307965,17.200000762939453,12.764008577994492,14.062550684931509,15.741549005972956,14.3201832098765,06-019-0008-88101-1
36.72639000000001,-119.73300000000002,2011,17.001235,17.700000762939453,12.764008577994492,14.11654794520548,16.12666830517368,15.0472185663925,06-019-5025-88101-1
32.97833,-115.53916999999998,2011,7.158036,11.5,7.580470022993792,7.776671232876712,6.97857647940344,8.1994830454207,06-025-0007-88101-1
32.79222,-115.56306,2011,7.513445,12.100000381469728,7.7675783094612445,8.930254794520549,6.6860097199986805,8.953366875,06-025-1003-88101-1
36.487823,-117.871036,2011,7.1,8.699999809265137,7.682938578181591,6.725178082191781,6.972539518634178,6.41784564307079,06-027-1003-88101-1
39.03269999999999,-122.92229,2011,3.518033,5.5,4.896956619316985,5.705794520547945,3.2788031351703535,4.27717901960784,06-033-3001-88101-1
34.1365,-117.92391,2011,12.140336,16.200000762939453,11.119741297328408,11.462301369863011,11.062380254676448,12.6894081116158,06-037-0002-88101-1
