len_scale_space,len_scale_time,len_scale_space_bias,len_scale_time_bias,penalty,time_metric,seed,mse,row_number
1,30,1,15,0.3679,1,1234,0,119
0.5,30,1,15,0.3679,1,1234,0,120
2,15,0.5,15,0.3679,1,1234,0,121
1,15,0.5,15,0.3679,1,1234,0,122
0.5,15,0.5,15,0.3679,1,1234,0,123
2,30,0.5,15,0.3679,1,1234,0,124
1,30,0.5,15,0.3679,1,1234,0,125
0.5,30,0.5,15,0.3679,1,1234,0,126
2,15,2,30,0.3679,1,1234,0,127
1,15,2,30,0.3679,1,1234,0,128
0.5,15,2,30,0.3679,1,1234,0,129
2,30,2,30,0.3679,1,1234,0,130
1,30,2,30,0.3679,1,1234,0,131
0.5,30,2,30,0.3679,1,1234,0,132
2,15,1,30,0.3679,1,1234,0,133
1,15,1,30,0.3679,1,1234,0,134
0.5,15,1,30,0.3679,1,1234,0,135
2,30,1,30,0.3679,1,1234,0,136
1,30,1,30,0.3679,1,1234,0,137
0.5,30,1,30,0.3679,1,1234,0,138
2,15,0.5,30,0.3679,1,1234,0,139
1,15,0.5,30,0.3679,1,1234,0,140
0.5,15,0.5,30,0.3679,1,1234,0,141
2,30,0.5,30,0.3679,1,1234,0,142
1,30,0.5,30,0.3679,1,1234,0,143
0.5,30,0.5,30,0.3679,1,1234,0,144
2,15,2,15,0.0498,1,1234,0,145
1,15,2,15,0.0498,1,1234,0,146
0.5,15,2,15,0.0498,1,1234,0,147
2,30,2,15,0.0498,1,1234,0,148
1,30,2,15,0.0498,1,1234,0,149
0.5,30,2,15,0.0498,1,1234,0,150
2,15,1,15,0.0498,1,1234,0,151
1,15,1,15,0.0498,1,1234,0,152
0.5,15,1,15,0.0498,1,1234,0,153
2,30,1,15,0.0498,1,1234,0,154
1,30,1,15,0.0498,1,1234,0,155
0.5,30,1,15,0.0498,1,1234,0,156
2,15,0.5,15,0.0498,1,1234,0,157
1,15,0.5,15,0.0498,1,1234,0,158
0.5,15,0.5,15,0.0498,1,1234,0,159
2,30,0.5,15,0.0498,1,1234,0,160
1,30,0.5,15,0.0498,1,1234,0,161
0.5,30,0.5,15,0.0498,1,1234,0,162
2,15,2,30,0.0498,1,1234,0,163
1,15,2,30,0.0498,1,1234,0,164
0.5,15,2,30,0.0498,1,1234,0,165
2,30,2,30,0.0498,1,1234,0,166
1,30,2,30,0.0498,1,1234,0,167
0.5,30,2,30,0.0498,1,1234,0,168
2,15,1,30,0.0498,1,1234,0,169
1,15,1,30,0.0498,1,1234,0,170
0.5,15,1,30,0.0498,1,1234,0,171
2,30,1,30,0.0498,1,1234,0,172
1,30,1,30,0.0498,1,1234,0,173
0.5,30,1,30,0.0498,1,1234,0,174
2,15,0.5,30,0.0498,1,1234,0,175
1,15,0.5,30,0.0498,1,1234,0,176
0.5,15,0.5,30,0.0498,1,1234,0,177
2,30,0.5,30,0.0498,1,1234,0,178
1,30,0.5,30,0.0498,1,1234,0,179
0.5,30,0.5,30,0.0498,1,1234,0,180
2,15,2,15,0.0183,1,1234,0,181
1,15,2,15,0.0183,1,1234,0,182
0.5,15,2,15,0.0183,1,1234,0,183
2,30,2,15,0.0183,1,1234,0,184
1,30,2,15,0.0183,1,1234,0,185
0.5,30,2,15,0.0183,1,1234,0,186
2,15,1,15,0.0183,1,1234,0,187
1,15,1,15,0.0183,1,1234,0,188
0.5,15,1,15,0.0183,1,1234,0,189
2,30,1,15,0.0183,1,1234,0,190
1,30,1,15,0.0183,1,1234,0,191
0.5,30,1,15,0.0183,1,1234,0,192
2,15,0.5,15,0.0183,1,1234,0,193
1,15,0.5,15,0.0183,1,1234,0,194
0.5,15,0.5,15,0.0183,1,1234,0,195
2,30,0.5,15,0.0183,1,1234,0,196
1,30,0.5,15,0.0183,1,1234,0,197
0.5,30,0.5,15,0.0183,1,1234,0,198
2,15,2,30,0.0183,1,1234,0,199
1,15,2,30,0.0183,1,1234,0,200
0.5,15,2,30,0.0183,1,1234,0,201
2,30,2,30,0.0183,1,1234,0,202
1,30,2,30,0.0183,1,1234,0,203
0.5,30,2,30,0.0183,1,1234,0,204
2,15,1,30,0.0183,1,1234,0,205
1,15,1,30,0.0183,1,1234,0,206
0.5,15,1,30,0.0183,1,1234,0,207
2,30,1,30,0.0183,1,1234,0,208
1,30,1,30,0.0183,1,1234,0,209
0.5,30,1,30,0.0183,1,1234,0,210
2,15,0.5,30,0.0183,1,1234,0,211
1,15,0.5,30,0.0183,1,1234,0,212
0.5,15,0.5,30,0.0183,1,1234,0,213
2,30,0.5,30,0.0183,1,1234,0,214
1,30,0.5,30,0.0183,1,1234,0,215
0.5,30,0.5,30,0.0183,1,1234,0,216
